tensor(0.0334, device='cuda:0', dtype=torch.float64) -0.17364502
tensor(0.6219, device='cuda:0', dtype=torch.float64) -0.55870056
tensor(0., device='cuda:0', dtype=torch.float64) -0.729599
tensor(0.6675, device='cuda:0', dtype=torch.float64) -0.70007324
tensor(0.6428, device='cuda:0', dtype=torch.float64) -0.4637146
tensor(0.6432, device='cuda:0', dtype=torch.float64) -0.3125229
tensor(0.4583, device='cuda:0', dtype=torch.float64) -0.43270874
tensor(0.2118, device='cuda:0', dtype=torch.float64) -0.4854126
tensor(0.1971, device='cuda:0', dtype=torch.float64) -0.5216217
tensor(0.2035, device='cuda:0', dtype=torch.float64) -0.33489227
tensor(0.0162, device='cuda:0', dtype=torch.float64) -0.44532776
tensor(0.0305, device='cuda:0', dtype=torch.float64) -0.33907318
tensor(0.0197, device='cuda:0', dtype=torch.float64) -0.44195557
tensor(0.0153, device='cuda:0', dtype=torch.float64) -0.38389587
tensor(0.0106, device='cuda:0', dtype=torch.float64) -0.5533142
tensor(0.0071, device='cuda:0', dtype=torch.float64) -0.22828674
tensor(0.6524, device='cuda:0', dtype=torch.float64) -0.41166687
tensor(0.6428, device='cuda:0', dtype=torch.float64) -0.3511505
tensor(0.0018, device='cuda:0', dtype=torch.float64) -0.6627655
tensor(0.0071, device='cuda:0', dtype=torch.float64) -0.7221832
tensor(0.0104, device='cuda:0', dtype=torch.float64) -0.9507599
tensor(0.1998, device='cuda:0', dtype=torch.float64) -0.68974304
tensor(0.7535, device='cuda:0', dtype=torch.float64) -0.10838318
tensor(0.3979, device='cuda:0', dtype=torch.float64) -0.2092514
tensor(0.3249, device='cuda:0', dtype=torch.float64) -0.40872192
tensor(0.3211, device='cuda:0', dtype=torch.float64) -0.41781616
tensor(0.4835, device='cuda:0', dtype=torch.float64) -0.4400177
tensor(0.4611, device='cuda:0', dtype=torch.float64) -0.24569702
tensor(0.4333, device='cuda:0', dtype=torch.float64) -0.2151413
tensor(0.2440, device='cuda:0', dtype=torch.float64) -0.023990631
tensor(0.1041, device='cuda:0', dtype=torch.float64) -0.115753174
tensor(0.3710, device='cuda:0', dtype=torch.float64) -0.42016602
tensor(0., device='cuda:0', dtype=torch.float64) -0.2886963
tensor(0.3744, device='cuda:0', dtype=torch.float64) -0.3495407
tensor(0., device='cuda:0', dtype=torch.float64) -0.5503998
tensor(9.6207e-05, device='cuda:0', dtype=torch.float64) -0.3625412
tensor(0.0007, device='cuda:0', dtype=torch.float64) -0.46562195
tensor(0., device='cuda:0', dtype=torch.float64) -0.67411804
tensor(0.0015, device='cuda:0', dtype=torch.float64) -0.7345276
tensor(0.0860, device='cuda:0', dtype=torch.float64) -0.049999237
tensor(0.0777, device='cuda:0', dtype=torch.float64) -0.02785778
tensor(0.0837, device='cuda:0', dtype=torch.float64) -0.37955475
tensor(0.0349, device='cuda:0', dtype=torch.float64) -0.5454407
tensor(0.0459, device='cuda:0', dtype=torch.float64) -0.29257202
tensor(0.0935, device='cuda:0', dtype=torch.float64) -0.12584686
tensor(0.1081, device='cuda:0', dtype=torch.float64) -0.12277603
tensor(0.1586, device='cuda:0', dtype=torch.float64) -0.3638382
tensor(0.3747, device='cuda:0', dtype=torch.float64) -0.27493286
tensor(0., device='cuda:0', dtype=torch.float64) -0.37501526
tensor(0.3799, device='cuda:0', dtype=torch.float64) -0.2625885
tensor(0.0007, device='cuda:0', dtype=torch.float64) -0.39587402
tensor(0.1816, device='cuda:0', dtype=torch.float64) -0.34430695
tensor(0.0040, device='cuda:0', dtype=torch.float64) -0.35494995
tensor(0.0022, device='cuda:0', dtype=torch.float64) -0.21051025
tensor(0., device='cuda:0', dtype=torch.float64) -0.4245453
tensor(0.0170, device='cuda:0', dtype=torch.float64) -0.43506622
tensor(0.3419, device='cuda:0', dtype=torch.float64) -0.29501343
tensor(0.3300, device='cuda:0', dtype=torch.float64) -0.3679428
tensor(0.3396, device='cuda:0', dtype=torch.float64) -0.63946533
tensor(0.3928, device='cuda:0', dtype=torch.float64) -0.73376465
tensor(0.3731, device='cuda:0', dtype=torch.float64) -0.37565613
tensor(0.0875, device='cuda:0', dtype=torch.float64) -0.114990234
tensor(0.0111, device='cuda:0', dtype=torch.float64) -0.098148346
tensor(0.0472, device='cuda:0', dtype=torch.float64) -0.34365845
tensor(0.0990, device='cuda:0', dtype=torch.float64) -0.25926208
tensor(0.0846, device='cuda:0', dtype=torch.float64) -0.56591797
tensor(0.0518, device='cuda:0', dtype=torch.float64) -0.7242737
tensor(0.0467, device='cuda:0', dtype=torch.float64) -0.8010559
tensor(0.0375, device='cuda:0', dtype=torch.float64) -0.8838959
tensor(0.0348, device='cuda:0', dtype=torch.float64) -0.4955063
tensor(0.1651, device='cuda:0', dtype=torch.float64) -0.24864197
tensor(0.2469, device='cuda:0', dtype=torch.float64) -0.31887817
tensor(0.2544, device='cuda:0', dtype=torch.float64) -0.7849121
tensor(0.2423, device='cuda:0', dtype=torch.float64) -0.87516785
tensor(0., device='cuda:0', dtype=torch.float64) -0.89230347
tensor(0.0111, device='cuda:0', dtype=torch.float64) -0.7813263
tensor(0.0249, device='cuda:0', dtype=torch.float64) -0.9492035
tensor(0.0084, device='cuda:0', dtype=torch.float64) -0.52905273
tensor(0., device='cuda:0', dtype=torch.float64) -0.59858704
tensor(0.0333, device='cuda:0', dtype=torch.float64) -0.3776245
tensor(0.0365, device='cuda:0', dtype=torch.float64) -0.33055878
tensor(0.0399, device='cuda:0', dtype=torch.float64) -0.522522
tensor(0.0257, device='cuda:0', dtype=torch.float64) -0.5986481
tensor(0.0355, device='cuda:0', dtype=torch.float64) -0.42517853
tensor(0.0314, device='cuda:0', dtype=torch.float64) -0.6986084
tensor(0.0221, device='cuda:0', dtype=torch.float64) -0.5649948
tensor(0.0325, device='cuda:0', dtype=torch.float64) -0.4388504
tensor(0.0531, device='cuda:0', dtype=torch.float64) -0.62612915
tensor(0.0193, device='cuda:0', dtype=torch.float64) 0.04346466
tensor(0.2041, device='cuda:0', dtype=torch.float64) 0.013952255
tensor(0.0400, device='cuda:0', dtype=torch.float64) -0.19199371
tensor(0.0299, device='cuda:0', dtype=torch.float64) -0.29167938
tensor(0.0251, device='cuda:0', dtype=torch.float64) -0.52924347
tensor(0.0324, device='cuda:0', dtype=torch.float64) -0.4595337
tensor(0.0226, device='cuda:0', dtype=torch.float64) -0.6760559
tensor(0.2337, device='cuda:0', dtype=torch.float64) -0.7910614
tensor(0.2436, device='cuda:0', dtype=torch.float64) -0.706131
tensor(0.0047, device='cuda:0', dtype=torch.float64) -0.5401459
tensor(0.0117, device='cuda:0', dtype=torch.float64) -0.49017334
tensor(0.0125, device='cuda:0', dtype=torch.float64) -0.41429138
tensor(0.0213, device='cuda:0', dtype=torch.float64) -0.3976593
tensor(0.1426, device='cuda:0', dtype=torch.float64) -0.141428
tensor(0.1562, device='cuda:0', dtype=torch.float64) -0.3903656
tensor(0.0538, device='cuda:0', dtype=torch.float64) -0.3758545
tensor(0.0521, device='cuda:0', dtype=torch.float64) -0.3334198
tensor(0.0497, device='cuda:0', dtype=torch.float64) -0.5554657
tensor(0.1718, device='cuda:0', dtype=torch.float64) -0.40579987
tensor(0.1437, device='cuda:0', dtype=torch.float64) -0.38295746
tensor(0.1444, device='cuda:0', dtype=torch.float64) -0.43797302
tensor(0.2691, device='cuda:0', dtype=torch.float64) -0.40771484
tensor(0.0241, device='cuda:0', dtype=torch.float64) -0.026664734
tensor(0.0193, device='cuda:0', dtype=torch.float64) -0.19127655
tensor(0.0110, device='cuda:0', dtype=torch.float64) -0.39611816
tensor(0., device='cuda:0', dtype=torch.float64) -0.8326111
tensor(0.0424, device='cuda:0', dtype=torch.float64) -0.7888794
tensor(0.1677, device='cuda:0', dtype=torch.float64) -0.5930176
tensor(0.1906, device='cuda:0', dtype=torch.float64) -0.20423889
tensor(0.4223, device='cuda:0', dtype=torch.float64) -0.34856415
tensor(0.0175, device='cuda:0', dtype=torch.float64) -0.5124359
tensor(0.0087, device='cuda:0', dtype=torch.float64) -0.4650879
tensor(0.0740, device='cuda:0', dtype=torch.float64) -0.36520386
tensor(0.0387, device='cuda:0', dtype=torch.float64) -0.5409241
tensor(0.0221, device='cuda:0', dtype=torch.float64) -0.16997528
tensor(0.0109, device='cuda:0', dtype=torch.float64) -0.49279785
tensor(0.0412, device='cuda:0', dtype=torch.float64) -2.1310425
tensor(0.0614, device='cuda:0', dtype=torch.float64) -1.9958801
tensor(0.0013, device='cuda:0', dtype=torch.float64) -1.3536682
tensor(0.0226, device='cuda:0', dtype=torch.float64) -0.5493851
tensor(0.0110, device='cuda:0', dtype=torch.float64) -0.8326111
tensor(0., device='cuda:0', dtype=torch.float64) -0.6786194
tensor(1.9241e-05, device='cuda:0', dtype=torch.float64) -0.29967117
tensor(0.4284, device='cuda:0', dtype=torch.float64) -0.2123642
tensor(0.6747, device='cuda:0', dtype=torch.float64) -0.4349289
tensor(0.0834, device='cuda:0', dtype=torch.float64) -0.48460388
tensor(0.0835, device='cuda:0', dtype=torch.float64) -0.2576065
tensor(0.0412, device='cuda:0', dtype=torch.float64) -0.48351288
tensor(0.0425, device='cuda:0', dtype=torch.float64) -0.6229706
tensor(0.0503, device='cuda:0', dtype=torch.float64) -0.4190445
tensor(0.0121, device='cuda:0', dtype=torch.float64) -0.4182434
tensor(0.0160, device='cuda:0', dtype=torch.float64) -0.63674927
tensor(0.0356, device='cuda:0', dtype=torch.float64) -0.5218506
tensor(0.0048, device='cuda:0', dtype=torch.float64) -0.5088959
tensor(0.0110, device='cuda:0', dtype=torch.float64) -0.1683197
tensor(0.0029, device='cuda:0', dtype=torch.float64) -0.3062744
tensor(0.0092, device='cuda:0', dtype=torch.float64) -0.24873352
tensor(0.0141, device='cuda:0', dtype=torch.float64) -0.07528305
tensor(0.0088, device='cuda:0', dtype=torch.float64) 0.0045986176
tensor(0.0084, device='cuda:0', dtype=torch.float64) -0.35876465
tensor(0.0111, device='cuda:0', dtype=torch.float64) -0.7620239
tensor(0., device='cuda:0', dtype=torch.float64) -0.17357635
tensor(0.0161, device='cuda:0', dtype=torch.float64) -0.29981613
tensor(0.0030, device='cuda:0', dtype=torch.float64) -0.2529602
tensor(0.0111, device='cuda:0', dtype=torch.float64) -0.06494331
tensor(0., device='cuda:0', dtype=torch.float64) -0.5230789
tensor(0.0084, device='cuda:0', dtype=torch.float64) -0.28735352
tensor(0., device='cuda:0', dtype=torch.float64) -0.28964233
tensor(0., device='cuda:0', dtype=torch.float64) -0.6300049
tensor(0.3188, device='cuda:0', dtype=torch.float64) -0.4054947
tensor(0., device='cuda:0', dtype=torch.float64) -0.31136322
tensor(0., device='cuda:0', dtype=torch.float64) -0.21992111
tensor(0.0084, device='cuda:0', dtype=torch.float64) -0.30101013
tensor(0.0019, device='cuda:0', dtype=torch.float64) -0.56578064
tensor(0.0019, device='cuda:0', dtype=torch.float64) -0.5178299
tensor(0., device='cuda:0', dtype=torch.float64) -0.46134186
tensor(0.0231, device='cuda:0', dtype=torch.float64) -0.51901245
tensor(0.0315, device='cuda:0', dtype=torch.float64) -0.37239838
tensor(0.3290, device='cuda:0', dtype=torch.float64) -0.33145142
tensor(0.0101, device='cuda:0', dtype=torch.float64) -0.4775238
tensor(0.0105, device='cuda:0', dtype=torch.float64) -0.8148041
tensor(0.0530, device='cuda:0', dtype=torch.float64) -0.43258667
tensor(0.0441, device='cuda:0', dtype=torch.float64) -0.29532623
tensor(0.0111, device='cuda:0', dtype=torch.float64) -0.66285706
tensor(0.0246, device='cuda:0', dtype=torch.float64) -0.3214569
tensor(0.2346, device='cuda:0', dtype=torch.float64) -0.16519547
tensor(0., device='cuda:0', dtype=torch.float64) -0.40433502
tensor(0.0065, device='cuda:0', dtype=torch.float64) -0.48485565
tensor(0.0136, device='cuda:0', dtype=torch.float64) -0.52830505
tensor(0.0098, device='cuda:0', dtype=torch.float64) -0.10142708
tensor(0.0292, device='cuda:0', dtype=torch.float64) 0.0020542145
tensor(0.1776, device='cuda:0', dtype=torch.float64) -0.10912132
tensor(0.0008, device='cuda:0', dtype=torch.float64) -0.2634201
tensor(0.0029, device='cuda:0', dtype=torch.float64) -0.37451172
tensor(0.0005, device='cuda:0', dtype=torch.float64) -0.36536407
tensor(0.0196, device='cuda:0', dtype=torch.float64) -0.22982788
tensor(0.0265, device='cuda:0', dtype=torch.float64) -0.2437706
tensor(0.0097, device='cuda:0', dtype=torch.float64) -0.59534454
tensor(0.0599, device='cuda:0', dtype=torch.float64) 0.032505035
tensor(0.0467, device='cuda:0', dtype=torch.float64) -0.054096222
tensor(0.1381, device='cuda:0', dtype=torch.float64) -0.16962814
tensor(0.0707, device='cuda:0', dtype=torch.float64) -0.031373978
tensor(0.0328, device='cuda:0', dtype=torch.float64) 0.012807846
tensor(0.0219, device='cuda:0', dtype=torch.float64) -0.74009705
tensor(0.0640, device='cuda:0', dtype=torch.float64) -1.269989
tensor(0.0025, device='cuda:0', dtype=torch.float64) -0.5335388
tensor(0.0742, device='cuda:0', dtype=torch.float64) -0.40470886
tensor(0.0066, device='cuda:0', dtype=torch.float64) -0.52700806
tensor(0.0650, device='cuda:0', dtype=torch.float64) -0.6652832
tensor(0.0220, device='cuda:0', dtype=torch.float64) -0.5207367
tensor(0.0481, device='cuda:0', dtype=torch.float64) 0.024974823
tensor(0.0649, device='cuda:0', dtype=torch.float64) -0.042154312
tensor(0.0851, device='cuda:0', dtype=torch.float64) -0.16631699
tensor(0.0376, device='cuda:0', dtype=torch.float64) 0.093940735
tensor(0.0355, device='cuda:0', dtype=torch.float64) 0.076268196
tensor(0.0516, device='cuda:0', dtype=torch.float64) -0.015071869
tensor(0.1609, device='cuda:0', dtype=torch.float64) -0.19131851
tensor(0.0903, device='cuda:0', dtype=torch.float64) -0.4732132
tensor(0.0111, device='cuda:0', dtype=torch.float64) -0.22749329
tensor(0.0568, device='cuda:0', dtype=torch.float64) -0.18720245
tensor(0.0612, device='cuda:0', dtype=torch.float64) -0.7965393
tensor(0.0978, device='cuda:0', dtype=torch.float64) -0.52563477
tensor(0.0604, device='cuda:0', dtype=torch.float64) -0.06491089
tensor(0.1027, device='cuda:0', dtype=torch.float64) -0.42808533
tensor(0.1063, device='cuda:0', dtype=torch.float64) -0.38097382
tensor(0.1078, device='cuda:0', dtype=torch.float64) -0.7327881
tensor(0.0322, device='cuda:0', dtype=torch.float64) -0.57144165
tensor(0.0243, device='cuda:0', dtype=torch.float64) -1.315033
tensor(0.0046, device='cuda:0', dtype=torch.float64) -0.30945587
tensor(0.0981, device='cuda:0', dtype=torch.float64) -0.5968094
tensor(0.1905, device='cuda:0', dtype=torch.float64) -0.4784546
tensor(0.1998, device='cuda:0', dtype=torch.float64) -0.27843475
tensor(0.1947, device='cuda:0', dtype=torch.float64) -0.39007568
tensor(0.2899, device='cuda:0', dtype=torch.float64) -0.33620453
tensor(0.0493, device='cuda:0', dtype=torch.float64) -0.27683258
tensor(0.0433, device='cuda:0', dtype=torch.float64) -0.5718384
tensor(0.0794, device='cuda:0', dtype=torch.float64) -0.2173996
tensor(0.0584, device='cuda:0', dtype=torch.float64) -0.013717651
tensor(0.0589, device='cuda:0', dtype=torch.float64) 0.053502083
tensor(0.0083, device='cuda:0', dtype=torch.float64) -0.33370972
tensor(0.0143, device='cuda:0', dtype=torch.float64) -0.028051376
tensor(0.2427, device='cuda:0', dtype=torch.float64) -0.13275528
tensor(0.0110, device='cuda:0', dtype=torch.float64) -0.49121094
tensor(0.0321, device='cuda:0', dtype=torch.float64) -0.46969604
tensor(0.0202, device='cuda:0', dtype=torch.float64) -1.1515961
tensor(0.0211, device='cuda:0', dtype=torch.float64) -0.29328156
tensor(0.0312, device='cuda:0', dtype=torch.float64) -1.2519379
tensor(0.0110, device='cuda:0', dtype=torch.float64) -0.39920044
tensor(0.0221, device='cuda:0', dtype=torch.float64) -1.0942078
tensor(0.0422, device='cuda:0', dtype=torch.float64) -1.1850586
tensor(0.0447, device='cuda:0', dtype=torch.float64) -0.6091156
tensor(0.0121, device='cuda:0', dtype=torch.float64) -0.5748215
tensor(0.0208, device='cuda:0', dtype=torch.float64) -0.3324051
tensor(0.0225, device='cuda:0', dtype=torch.float64) -0.3279419
tensor(0.0163, device='cuda:0', dtype=torch.float64) -0.45533752
tensor(0.0299, device='cuda:0', dtype=torch.float64) -0.23983765
tensor(0.0216, device='cuda:0', dtype=torch.float64) -0.35557556
tensor(0.0203, device='cuda:0', dtype=torch.float64) -0.5602112
tensor(0.0202, device='cuda:0', dtype=torch.float64) -0.63923645
tensor(0.0799, device='cuda:0', dtype=torch.float64) -0.33538818
tensor(0., device='cuda:0', dtype=torch.float64) -0.4566803
tensor(0.1349, device='cuda:0', dtype=torch.float64) -0.40914917
tensor(0.0759, device='cuda:0', dtype=torch.float64) -0.5035553
tensor(0.0111, device='cuda:0', dtype=torch.float64) -0.12514496
tensor(0.0111, device='cuda:0', dtype=torch.float64) -0.11139202
tensor(0., device='cuda:0', dtype=torch.float64) -0.20242691
tensor(0.0191, device='cuda:0', dtype=torch.float64) -0.16552734
tensor(0.0377, device='cuda:0', dtype=torch.float64) -0.3102188
tensor(0., device='cuda:0', dtype=torch.float64) -0.46640015
tensor(0., device='cuda:0', dtype=torch.float64) -0.54467773
tensor(0., device='cuda:0', dtype=torch.float64) -0.57832336
tensor(0.0111, device='cuda:0', dtype=torch.float64) -0.5626831
tensor(0.0132, device='cuda:0', dtype=torch.float64) -0.22668457
tensor(0.0192, device='cuda:0', dtype=torch.float64) -0.26796722
tensor(0.0242, device='cuda:0', dtype=torch.float64) -0.50884247
tensor(0.0301, device='cuda:0', dtype=torch.float64) -0.37857056
tensor(0.0257, device='cuda:0', dtype=torch.float64) -0.5303192
tensor(0.1981, device='cuda:0', dtype=torch.float64) -0.2021637
tensor(0.2155, device='cuda:0', dtype=torch.float64) -0.6525574
tensor(0.2262, device='cuda:0', dtype=torch.float64) -0.44334412
tensor(0.1912, device='cuda:0', dtype=torch.float64) -0.45812988
tensor(0.1970, device='cuda:0', dtype=torch.float64) -0.6190033
tensor(0.1732, device='cuda:0', dtype=torch.float64) -0.49248505
tensor(0.1517, device='cuda:0', dtype=torch.float64) -0.5980072
tensor(0.1718, device='cuda:0', dtype=torch.float64) -0.6633606
tensor(0.1592, device='cuda:0', dtype=torch.float64) -0.6222229
tensor(0.1379, device='cuda:0', dtype=torch.float64) -0.5984497
tensor(0.0198, device='cuda:0', dtype=torch.float64) -0.7376709
tensor(0., device='cuda:0', dtype=torch.float64) -0.94792175
tensor(0.0093, device='cuda:0', dtype=torch.float64) -0.6187439
tensor(0.2592, device='cuda:0', dtype=torch.float64) -0.7721405
tensor(0.0356, device='cuda:0', dtype=torch.float64) -0.24419403
tensor(0.0110, device='cuda:0', dtype=torch.float64) -0.5159302
tensor(0.1629, device='cuda:0', dtype=torch.float64) -0.21747589
tensor(0.0097, device='cuda:0', dtype=torch.float64) -0.090457916
tensor(0.0185, device='cuda:0', dtype=torch.float64) -0.30035782
tensor(0.0186, device='cuda:0', dtype=torch.float64) -0.2701416
tensor(0.0119, device='cuda:0', dtype=torch.float64) -0.28020477
tensor(0.0211, device='cuda:0', dtype=torch.float64) -0.3824005
tensor(0.0344, device='cuda:0', dtype=torch.float64) -0.17734528
tensor(0.0342, device='cuda:0', dtype=torch.float64) -0.28728485
tensor(0., device='cuda:0', dtype=torch.float64) -0.18122864
tensor(0.0091, device='cuda:0', dtype=torch.float64) -0.06623936
tensor(0.0200, device='cuda:0', dtype=torch.float64) -0.2601204
tensor(0.0616, device='cuda:0', dtype=torch.float64) -0.14403152
tensor(0.0111, device='cuda:0', dtype=torch.float64) -0.19706535
tensor(0.0346, device='cuda:0', dtype=torch.float64) -0.3979187
tensor(0.0111, device='cuda:0', dtype=torch.float64) -0.059855938
tensor(0.0107, device='cuda:0', dtype=torch.float64) -0.1286583
tensor(0.0458, device='cuda:0', dtype=torch.float64) -0.48516846
tensor(0.0783, device='cuda:0', dtype=torch.float64) -0.61053467
tensor(0.0624, device='cuda:0', dtype=torch.float64) -0.55029297
tensor(0.0374, device='cuda:0', dtype=torch.float64) -0.6237488
tensor(0.0076, device='cuda:0', dtype=torch.float64) -0.07637024
tensor(0.0254, device='cuda:0', dtype=torch.float64) -0.5740509
tensor(0.0264, device='cuda:0', dtype=torch.float64) -0.48683167
tensor(0.0311, device='cuda:0', dtype=torch.float64) -0.3242569
tensor(0.0043, device='cuda:0', dtype=torch.float64) -0.43399048
tensor(0.0031, device='cuda:0', dtype=torch.float64) -0.6417694
tensor(0.0132, device='cuda:0', dtype=torch.float64) -0.63723755
tensor(0.0556, device='cuda:0', dtype=torch.float64) -0.7373352
tensor(0.0474, device='cuda:0', dtype=torch.float64) -0.77323914
tensor(0.6636, device='cuda:0', dtype=torch.float64) -0.69770813
tensor(0.0474, device='cuda:0', dtype=torch.float64) -0.72325134
tensor(0.0235, device='cuda:0', dtype=torch.float64) -0.6114502
tensor(0.0404, device='cuda:0', dtype=torch.float64) -0.93525696
tensor(0.0447, device='cuda:0', dtype=torch.float64) -0.6043396
tensor(0.0591, device='cuda:0', dtype=torch.float64) -0.45625305
tensor(0.0624, device='cuda:0', dtype=torch.float64) -0.47381592
tensor(0.0772, device='cuda:0', dtype=torch.float64) -0.5218811
tensor(0.0681, device='cuda:0', dtype=torch.float64) -0.52046204
tensor(0.3850, device='cuda:0', dtype=torch.float64) -0.5031891
tensor(0.0296, device='cuda:0', dtype=torch.float64) -0.4940033
tensor(0.0082, device='cuda:0', dtype=torch.float64) -0.56703186
tensor(0.0124, device='cuda:0', dtype=torch.float64) -0.34066772
tensor(0.0156, device='cuda:0', dtype=torch.float64) -0.32109833
tensor(0.6601, device='cuda:0', dtype=torch.float64) -0.38790894
tensor(0.0015, device='cuda:0', dtype=torch.float64) -0.38319397
tensor(0.0075, device='cuda:0', dtype=torch.float64) -0.46817017
tensor(0.1383, device='cuda:0', dtype=torch.float64) -0.4326477
tensor(0.1358, device='cuda:0', dtype=torch.float64) -0.23815918
tensor(0.0202, device='cuda:0', dtype=torch.float64) -0.4943695
tensor(0.0228, device='cuda:0', dtype=torch.float64) -0.6669159
tensor(0.3923, device='cuda:0', dtype=torch.float64) -0.5257721
tensor(0.0127, device='cuda:0', dtype=torch.float64) -0.3927307
tensor(0.0109, device='cuda:0', dtype=torch.float64) -0.48277283
tensor(0.0035, device='cuda:0', dtype=torch.float64) -0.06678343
tensor(0.0253, device='cuda:0', dtype=torch.float64) -0.7395935
tensor(0.0111, device='cuda:0', dtype=torch.float64) -0.5104294
tensor(0.0059, device='cuda:0', dtype=torch.float64) -0.96310425
tensor(0.6739, device='cuda:0', dtype=torch.float64) -0.76864624
tensor(0.0096, device='cuda:0', dtype=torch.float64) -0.7128906
tensor(0.0112, device='cuda:0', dtype=torch.float64) -0.63874817
tensor(0.0132, device='cuda:0', dtype=torch.float64) -0.6027832
tensor(0.0037, device='cuda:0', dtype=torch.float64) -0.75704956
tensor(0.0078, device='cuda:0', dtype=torch.float64) -0.80952454
tensor(0.0221, device='cuda:0', dtype=torch.float64) -0.6738739
tensor(7.6965e-05, device='cuda:0', dtype=torch.float64) -0.5089874
tensor(0.0221, device='cuda:0', dtype=torch.float64) -0.63227844
tensor(0.0111, device='cuda:0', dtype=torch.float64) -0.17507935
tensor(0.0241, device='cuda:0', dtype=torch.float64) -0.37719727
